baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,garage,lot_sqft,sqft,stories,year_built,price_reduced_amount,latitude,longitude,sub_type_townhouse,type_condo_townhome_rowhome_coop,type_condos,type_duplex_triplex,type_land,type_mobile,type_multi_family,type_single_family,type_townhomes,is_price_reduced_True
2.0,0.0,0.0,2.0,0.0,3.0,2.0,8276.0,1416.0,1.0,1987.0,0.0,30.164579,-97.736646,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,2370.0,1848.0,2.0,2019.0,0.0,40.328954,-76.832394,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,4.0,2.0,6098.0,2654.0,0.0,1927.0,0.0,41.736853,-72.684459,0,0,0,0,0,0,1,0,0,0
3.0,0.0,0.0,2.0,1.0,3.0,1.0,2178.0,1600.0,2.0,1994.0,0.0,40.305236,-76.857392,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,1.0,1.0,4.0,2.0,10001.0,2450.0,2.0,1950.0,0.0,41.838319,-71.440613,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,3.0,1.0,14810.0,1292.0,1.0,1954.0,19600.0,37.48539,-77.390478,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,8276.0,2045.0,1.0,2005.0,0.0,30.407421,-84.220108,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,26136.0,1500.0,1.0,1978.0,0.0,32.389227,-86.228626,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,3.0,1.0,7100.0,1252.0,2.0,1935.0,15000.0,40.777789,-96.658296,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,3.0,1.0,4792.0,1214.0,2.0,1910.0,0.0,38.341576,-81.644994,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,3.0,0.0,6970.0,1428.0,2.0,1920.0,10000.0,34.729216,-92.285366,0,0,0,0,0,0,0,1,0,1
2.0,0.0,0.0,2.0,0.0,4.0,3.0,8940.0,2176.0,1.0,2011.0,0.0,33.357118,-112.066415,0,0,0,0,0,0,0,1,0,0
5.0,0.0,0.0,4.0,1.0,4.0,2.0,17860.0,4124.0,3.0,1999.0,0.0,30.301086,-97.78801,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,1.0,3485.0,1963.0,2.0,1933.0,10000.0,40.783403,-96.696476,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1630.0,3.0,2005.0,3000.0,35.923748,-78.566673,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,6970.0,1576.0,1.0,1986.0,0.0,43.654199,-116.236721,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,5227.0,1088.0,1.0,1960.0,1000.0,30.429112,-84.296049,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,13939.0,1506.0,1.0,1989.0,0.0,33.661589,-112.018271,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,8843.0,1081.0,0.0,1951.0,14000.0,41.548346,-93.602886,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,3.0,0.0,4.0,2.0,6534.0,3115.0,2.0,2005.0,0.0,35.925782,-78.572514,0,0,0,0,0,0,0,1,0,0
2.0,0.0,1.0,1.0,0.0,3.0,1.0,11326.0,1861.0,2.0,1950.0,0.0,40.654507,-111.878558,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,19741.0,1503.0,1.0,1958.0,0.0,37.540285,-77.52838,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1315.0,1.0,2010.0,35000.0,33.854571,-84.35839,0,0,1,0,0,0,0,0,0,0
3.0,0.0,0.0,3.0,0.0,3.0,2.0,72745.0,1872.0,1.0,1971.0,20000.0,39.196689,-119.757533,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2111.0,2.0,1986.0,0.0,38.207657,-84.84462,0,0,0,0,0,0,0,1,0,0
